Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
28,Male,Pay bills,"No, I don't track it",Never,Spend it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
50,Male,Pay bills,"No, I don't track it",Never,Spend it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Spending less
46,Male,Save,"No, I don't track it",Frequently,Spend it,"No, i don't have a budget",Other,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
37,Female,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Saving more
59,Male,Pay bills,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
27,Male,Spend,"Yes, daily",Frequently,Save it,"Yes, I follow it strictly",Other,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
45,Female,Save,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
49,Male,Spend,"Yes, monthly",Never,Donate it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
51,Female,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, but it's vague",Very confident,Investing regularly
29,Male,Other,"No, I don't track it",Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
26,Female,Save,Sometimes,Rarely,Invest it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
37,Female,Save,"Yes, monthly",Frequently,Invest it,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
41,Female,Save,"Yes, daily",Frequently,Pay off debt,"No, i don't have a budget",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
32,Male,Pay bills,"Yes, monthly",Rarely,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
40,Male,Save,Sometimes,Never,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Paying off debt
21,Male,Pay bills,"Yes, daily",Never,Spend it,"Yes, but I don't always stick to it",Other,Very comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
20,Female,Pay bills,Sometimes,Always,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
53,Male,Other,"Yes, monthly",Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
48,Male,Spend,Sometimes,Always,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Other
24,Male,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Spending less
62,Female,Save,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
53,Other,Spend,"Yes, monthly",Never,Spend it,"No, i don't have a budget",Future security,Not comfortable,"Yes, I have a detailed plan",Very confident,Spending less
49,Male,Save,Sometimes,Never,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
20,Female,Other,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Retiring early,Not comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
30,Male,Pay bills,Sometimes,Rarely,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
47,Female,Spend,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
64,Other,Pay bills,"Yes, monthly",Always,Save it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
50,Female,Save,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
37,Male,Pay bills,"No, I don't track it",Never,Invest it,"No, i don't have a budget",Travel,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
23,Female,Pay bills,"Yes, daily",Never,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
54,Female,Save,"No, I don't track it",Never,Invest it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
20,Female,Save,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
56,Female,Save,"Yes, daily",Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, but it's vague",Somewhat confident,Saving more
51,Male,Spend,"Yes, daily",Always,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Paying off debt
19,Female,Spend,"No, I don't track it",Never,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Spending less
48,Male,Save,"No, I don't track it",Rarely,Save it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Spending less
22,Female,Spend,"Yes, daily",Frequently,Save it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
47,Male,Spend,"Yes, monthly",Frequently,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
32,Male,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Very confident,Saving more
60,Female,Pay bills,Sometimes,Frequently,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Paying off debt
43,Female,Pay bills,"Yes, daily",Always,Save it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
60,Male,Spend,"Yes, monthly",Rarely,Invest it,"No, i don't have a budget",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
28,Female,Pay bills,"No, I don't track it",Rarely,Spend it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
42,Female,Save,Sometimes,Always,Spend it,"Yes, I follow it strictly",Future security,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
21,Male,Save,"Yes, monthly",Always,Spend it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
57,Female,Save,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Saving more
58,Male,Spend,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
59,Male,Pay bills,"Yes, monthly",Never,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
41,Female,Spend,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, but it's vague",Very confident,Spending less
19,Male,Pay bills,"No, I don't track it",Rarely,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
34,Male,Save,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
36,Male,Save,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
45,Female,Other,"Yes, daily",Frequently,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
35,Male,Pay bills,Sometimes,Rarely,Save it,"No, i don't have a budget",Travel,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
23,Female,Spend,"Yes, daily",Rarely,Save it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, but it's vague",Not confident at all,Spending less
56,Female,Pay bills,"Yes, daily",Always,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
20,Male,Save,"Yes, daily",Frequently,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
50,Female,Other,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
55,Other,Save,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Other
48,Male,Other,"No, I don't track it",Rarely,Pay off debt,"Yes, I follow it strictly",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
45,Male,Save,"Yes, daily",Frequently,Donate it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
35,Male,Save,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
26,Male,Pay bills,"Yes, monthly",Frequently,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
44,Female,Spend,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
22,Female,Spend,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
50,Male,Save,Sometimes,Always,Invest it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
28,Male,Spend,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
31,Male,Save,"Yes, monthly",Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
57,Female,Spend,"No, I don't track it",Frequently,Save it,"No, i don't have a budget",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
49,Male,Save,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Retiring early,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
35,Male,Other,"Yes, daily",Rarely,Invest it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
52,Female,Pay bills,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Very confident,Investing regularly
60,Male,Pay bills,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Creating and sticking to a budget
59,Male,Pay bills,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
42,Male,Save,Sometimes,Never,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Very confident,Creating and sticking to a budget
42,Female,Save,"Yes, monthly",Never,Save it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
30,Male,Pay bills,"Yes, monthly",Always,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
